,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Axim,GH,4.8699,-2.2405,76.68,90,100,4.79,light rain
119,Sisimiut,GL,66.9395,-53.6735,36.52,68,100,9.98,overcast clouds
120,Plettenberg Bay,ZA,-34.0527,23.3716,56.14,83,1,3.67,clear sky
121,Saskylakh,RU,71.9167,114.0833,21.74,97,100,2.64,overcast clouds
122,Huron,US,41.1501,-82.5499,67.86,91,37,10.96,scattered clouds
123,Shimoda,JP,34.6667,138.95,79.11,69,78,5.66,broken clouds
124,Talnakh,RU,69.4865,88.3972,34.57,100,100,3.98,light rain
125,Husavik,IS,66.0449,-17.3389,34.61,81,100,5.06,overcast clouds
126,Tiksi,RU,71.6872,128.8694,27.57,94,100,4.43,light snow
127,Georgetown,MY,5.4112,100.3354,78.73,91,20,5.75,few clouds
128,Tasiilaq,GL,65.6145,-37.6368,33.96,75,14,7.63,few clouds
129,Madang,PG,-5.2246,145.7966,80.83,86,97,4.94,light rain
130,Yaan,NG,7.3833,8.5667,73.71,95,99,8.46,light rain
131,Arraial Do Cabo,BR,-22.9661,-42.0278,70.18,90,100,16.13,overcast clouds
132,Hilo,US,19.7297,-155.09,82.13,72,20,11.5,few clouds
133,Ossora,RU,59.2353,163.0719,37.35,69,100,13.69,overcast clouds
134,Dali,CN,25.7,100.1833,61.16,93,65,2.04,broken clouds
135,Cuenca,EC,-2.8833,-78.9833,60.93,82,75,6.91,light rain
136,Bogorodskoye,RU,56.55,37.8833,37.58,87,13,7.36,few clouds
137,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.5,92,100,13.76,overcast clouds
138,Tubuala,PA,9.5167,-79.0333,81.34,84,99,6.55,overcast clouds
139,Zyryanka,RU,65.75,150.85,26.33,51,56,9.53,broken clouds
140,Lasa,IT,46.6166,10.7002,52.02,98,100,2.13,overcast clouds
141,Beringovskiy,RU,63.05,179.3167,33.96,84,100,18.68,overcast clouds
142,Kavaratti,IN,10.5669,72.642,81.82,80,99,15.21,light rain
143,Leeton,AU,-34.5667,146.4,69.89,41,0,7.4,clear sky
144,Chokurdakh,RU,70.6333,147.9167,23.18,90,100,11.81,overcast clouds
145,Esperance,AU,-33.8667,121.9,54.84,59,98,8.05,overcast clouds
146,Mar Del Plata,AR,-38.0023,-57.5575,64.42,55,0,13.8,light rain
147,Alice Springs,AU,-23.7,133.8833,85.55,12,0,18.41,clear sky
148,Iskateley,RU,67.6803,53.1512,41.4,90,0,18.3,clear sky
149,Ostrovnoy,RU,68.0531,39.5131,48.61,85,99,28.61,overcast clouds
150,Calbuco,CL,-41.768,-73.1273,45.61,71,1,18.23,clear sky
151,Novobirilyussy,RU,56.9514,90.6661,26.19,90,7,4.79,clear sky
152,Raudeberg,NO,61.9875,5.1352,52.2,81,100,3.0,overcast clouds
153,El Tarra,CO,8.5756,-73.0949,76.57,98,99,2.17,moderate rain
154,Shuangyang,CN,43.5242,125.6736,53.15,65,100,6.11,overcast clouds
155,Mehamn,NO,71.0357,27.8492,48.67,80,63,18.19,light rain
156,Pauini,BR,-7.7136,-66.9764,74.73,92,100,3.13,overcast clouds
157,Ahipara,NZ,-35.1667,173.1667,66.92,72,100,8.46,overcast clouds
158,La Paz,BO,-16.5,-68.15,48.18,81,75,5.75,broken clouds
159,Ixtapa,MX,20.7,-105.2,85.23,66,75,0.0,broken clouds
160,Bundaberg,AU,-24.85,152.35,76.95,26,0,7.65,clear sky
161,Road Town,VG,18.4167,-64.6167,83.19,74,63,22.59,broken clouds
162,Sheridan,US,44.8333,-106.9173,80.98,14,1,3.0,clear sky
163,Egvekinot,RU,66.3167,-179.1667,30.42,91,100,11.56,overcast clouds
164,Tabou,CI,4.423,-7.3528,77.2,89,12,7.43,few clouds
165,San Luis,AR,-33.295,-66.3356,64.9,24,0,9.51,clear sky
166,Bagotville,AU,-28.9833,153.4167,71.64,35,0,5.01,clear sky
167,Umm Lajj,SA,25.0213,37.2685,79.27,64,0,11.1,clear sky
168,Iquitos,PE,-3.7481,-73.2472,78.84,83,75,6.91,light rain
169,Suntar,RU,62.1444,117.6319,32.34,91,89,6.4,light snow
170,Skelleftea,SE,64.7507,20.9528,51.01,67,90,1.01,overcast clouds
171,Nouakchott,MR,18.0858,-15.9785,82.33,63,33,14.27,scattered clouds
172,Deputatskiy,RU,69.3,139.9,21.63,77,100,11.03,overcast clouds
173,Banda Aceh,ID,5.5577,95.3222,79.75,81,98,9.04,overcast clouds
174,San Patricio,US,28.017,-97.5169,84.06,40,0,6.62,clear sky
175,Kurilsk,RU,45.2333,147.8833,48.96,54,17,6.49,few clouds
176,Tokomaru,NZ,-40.4667,175.5,64.85,78,98,2.08,overcast clouds
177,New Norfolk,AU,-42.7826,147.0587,59.72,46,83,3.0,broken clouds
178,Ilulissat,GL,69.2167,-51.1,23.94,65,95,9.66,overcast clouds
179,Coolum Beach,AU,-26.5333,153.1,79.34,30,0,7.94,clear sky
180,Port Macquarie,AU,-31.4333,152.9167,72.37,33,0,5.39,clear sky
181,Ahuimanu,US,21.4447,-157.8378,89.31,60,40,12.66,scattered clouds
182,Bambanglipuro,ID,-7.95,110.2833,77.09,79,100,10.2,overcast clouds
183,Chaves,US,33.3834,-104.4505,84.61,20,1,8.05,clear sky
184,Fortuna,US,40.5982,-124.1573,64.42,68,90,1.99,overcast clouds
185,Castro,BR,-24.7911,-50.0119,57.61,95,92,8.57,overcast clouds
186,Portland,US,45.5234,-122.6762,57.24,92,90,1.99,light rain
187,Jiuquan,CN,39.7432,98.5174,46.17,63,2,6.24,clear sky
188,Kikwit,CD,-5.041,18.8162,69.12,98,92,1.83,overcast clouds
189,Nome,US,64.5011,-165.4064,44.67,93,90,14.97,mist
190,Paris,FR,48.8534,2.3488,53.11,87,75,3.0,broken clouds
191,Hidrolandia,BR,-4.4081,-40.4378,84.49,50,96,8.57,overcast clouds
192,Kupang,ID,-10.1667,123.5833,82.53,64,55,5.3,broken clouds
193,Sioux Lookout,CA,50.1001,-91.917,61.29,67,45,5.84,scattered clouds
194,Atbasar,KZ,51.8,68.3333,23.95,91,67,6.51,broken clouds
195,Poya,NC,-21.35,165.15,83.43,55,1,7.45,clear sky
196,Natitingou,BJ,10.3042,1.3796,75.2,77,59,3.38,broken clouds
197,Rawson,AR,-43.3002,-65.1023,45.75,56,76,21.52,broken clouds
198,Namibe,AO,-15.1961,12.1522,62.17,73,54,6.31,broken clouds
199,Faanui,PF,-16.4833,-151.75,79.14,65,18,13.31,few clouds
200,Pemangkat,ID,1.1667,108.9667,79.84,84,100,8.75,overcast clouds
201,Bonavista,CA,48.6499,-53.1147,47.12,75,100,22.17,overcast clouds
202,Upata,VE,8.0086,-62.3989,79.2,79,17,5.01,few clouds
203,Dawson Creek,CA,55.7666,-120.2362,33.44,93,90,10.36,snow
204,Sile,TR,41.1754,29.6133,62.56,59,94,5.01,overcast clouds
205,Coahuayana,MX,18.7333,-103.6833,83.68,83,95,2.55,overcast clouds
206,Wyndham,US,37.6985,-77.6125,74.05,87,90,4.61,overcast clouds
207,San Cristobal,VE,7.7669,-72.225,78.98,97,86,2.89,overcast clouds
208,Racine,US,42.7495,-88.0751,65.05,89,51,3.0,broken clouds
209,Acarau,BR,-2.8856,-40.12,79.3,80,50,17.56,scattered clouds
210,Urucara,BR,-2.5364,-57.76,80.47,54,100,3.11,overcast clouds
211,Bloomington,US,44.8408,-93.2983,71.92,65,1,1.99,clear sky
212,El Chol,GT,14.9642,-90.4806,76.1,93,45,3.2,scattered clouds
213,Muros,ES,42.7762,-9.0603,62.83,95,11,4.9,few clouds
214,Alvdal,NO,62.1077,10.6307,48.04,99,100,3.33,overcast clouds
215,Frontera,MX,26.9333,-101.45,79.95,49,16,13.6,few clouds
216,Katsuura,JP,35.1333,140.3,75.31,69,80,1.14,broken clouds
217,Fairbanks,US,64.8378,-147.7164,40.6,81,40,3.44,moderate rain
218,Fenyi,CN,27.8112,114.6681,76.19,72,0,4.76,clear sky
219,Richards Bay,ZA,-28.783,32.0377,65.73,91,100,3.53,light rain
220,Gat,IL,31.61,34.7642,70.48,71,0,2.8,clear sky
221,Faya,SA,18.3851,42.4509,64.92,27,100,4.34,overcast clouds
222,Madingou,CG,-4.1536,13.55,77.22,76,88,2.55,overcast clouds
223,Jelenia Gora,PL,50.8997,15.729,59.61,96,100,2.95,moderate rain
224,Olinda,BR,-8.0089,-34.8553,77.34,79,63,10.6,broken clouds
225,Codrington,AU,-38.2667,141.9667,59.07,59,37,14.52,light rain
226,Ibra,OM,22.6906,58.5334,78.46,67,2,3.09,clear sky
227,Longyearbyen,SJ,78.2186,15.6401,37.24,75,75,13.8,broken clouds
228,Geraldton,AU,-28.7667,114.6,55.81,62,52,14.97,broken clouds
229,Kruisfontein,ZA,-34.0033,24.7314,53.89,93,0,4.14,clear sky
230,Balkanabat,TM,39.5108,54.3671,59.59,32,22,17.2,few clouds
231,Labrea,BR,-7.2586,-64.7981,74.17,98,94,3.44,overcast clouds
232,Anloga,GH,5.7947,0.8973,79.84,81,96,9.73,overcast clouds
233,Black River,JM,18.0264,-77.8487,80.98,78,100,4.99,overcast clouds
234,Saint-Pierre,RE,-21.3393,55.4781,69.48,80,90,3.44,overcast clouds
235,Birin,NP,26.8865,88.0718,59.04,89,4,3.94,clear sky
236,Sishui,CN,35.6489,117.2758,62.17,80,100,7.52,overcast clouds
237,Uray,RU,60.1247,64.7758,33.85,93,99,5.93,overcast clouds
238,Ulagan,RU,50.6321,87.9563,27.32,71,61,3.96,broken clouds
239,Kavieng,PG,-2.5744,150.7967,79.97,85,100,13.13,moderate rain
240,Caravelas,BR,-17.7125,-39.2481,74.61,86,47,6.4,scattered clouds
241,Barrow,US,71.2906,-156.7887,23.02,86,90,10.36,fog
242,Clyde River,CA,70.4692,-68.5914,33.75,96,100,3.8,overcast clouds
243,Gravdal,NO,68.1214,13.5031,49.64,80,83,19.8,light rain
244,Girua,BR,-28.0283,-54.3497,61.83,65,66,8.19,broken clouds
245,Stribro,CZ,49.7529,13.0041,54.61,88,100,9.86,light rain
246,Cozumel,MX,20.5083,-86.9458,84.18,88,75,1.01,broken clouds
247,Airai,TL,-8.9266,125.4092,73.72,38,79,2.3,broken clouds
248,Bonfim,BR,3.0833,-59.95,84.18,56,88,7.96,overcast clouds
249,Boyolangu,ID,-8.1181,111.8935,75.29,82,95,8.93,overcast clouds
250,Yar-Sale,RU,66.8333,70.8333,37.15,88,43,10.89,scattered clouds
251,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,71,90,12.66,overcast clouds
252,Takoradi,GH,4.8845,-1.7554,76.57,90,100,4.54,light rain
253,Flinders,AU,-34.5833,150.8552,70.18,43,5,4.0,clear sky
254,Dudinka,RU,69.4058,86.1778,36.5,100,100,13.04,overcast clouds
255,Namatanai,PG,-3.6667,152.4333,76.35,93,100,17.72,heavy intensity rain
256,Udachnyy,RU,66.4167,112.4,27.27,85,100,16.96,overcast clouds
257,Provideniya,RU,64.3833,-173.3,39.31,87,90,6.71,light rain
258,Mandali,IQ,33.7499,45.5541,76.51,14,0,7.25,clear sky
259,Brownsville,US,25.9018,-97.4975,83.89,53,1,3.0,smoke
260,Anjozorobe,MG,-18.4,47.8667,61.12,76,96,4.23,overcast clouds
261,Uyuni,BO,-20.4597,-66.825,57.69,14,94,8.08,overcast clouds
262,Iqaluit,CA,63.7506,-68.5145,38.7,80,71,18.01,light rain
263,Shelburne,CA,44.0787,-80.2041,59.27,100,56,5.37,broken clouds
264,Flin Flon,CA,54.7682,-101.865,52.61,30,97,9.98,overcast clouds
265,Rincon,US,32.296,-81.2354,77.45,91,90,5.75,mist
266,Bud,US,39.447,-86.1758,72.21,76,94,5.57,overcast clouds
267,Kalmunai,LK,7.4167,81.8167,77.61,84,96,13.69,overcast clouds
268,Port Elizabeth,ZA,-33.918,25.5701,56.1,88,3,8.19,clear sky
269,Wajima,JP,37.4,136.9,67.37,74,100,13.67,overcast clouds
270,Ormara,PK,25.2088,64.6357,79.77,85,0,7.72,clear sky
271,Saint George,US,37.1041,-113.5841,70.27,77,40,12.66,scattered clouds
272,Vostok,RU,46.4856,135.8833,41.56,51,0,4.47,clear sky
273,Pringsewu,ID,-5.3582,104.9744,76.23,85,97,5.82,overcast clouds
274,Dicabisagan,PH,17.0818,122.4157,76.6,94,100,2.15,overcast clouds
275,Havre,FR,49.5833,0.3333,56.97,72,75,24.16,broken clouds
276,Necochea,AR,-38.5473,-58.7368,51.04,89,90,13.53,light rain
277,Urbano Santos,BR,-3.2078,-43.4036,78.49,78,63,6.76,broken clouds
278,Belaya Gora,RU,68.5333,146.4167,25.93,55,97,10.54,overcast clouds
279,Champasak,LA,14.75,106.0,73.94,98,97,0.54,moderate rain
280,Ola,RU,59.5833,151.2833,30.9,46,0,10.0,clear sky
281,Nabire,ID,-3.3667,135.4833,76.73,89,100,1.79,overcast clouds
282,Kushiro,JP,42.975,144.3747,50.07,86,100,0.74,overcast clouds
283,Ponta Do Sol,PT,32.6667,-17.1,73.0,76,100,5.23,overcast clouds
284,Labuhan,ID,-6.8844,112.2051,79.75,71,80,15.57,broken clouds
285,Osoyoos,CA,49.0331,-119.4524,72.99,27,99,12.19,overcast clouds
286,Saint-Georges,GD,12.0564,-61.7485,82.13,75,18,17.22,few clouds
287,Uruzgan,AF,32.8333,66.0,55.58,22,0,3.02,clear sky
288,Panama City,PA,8.9936,-79.5197,83.28,81,40,3.44,scattered clouds
289,Indian Head,US,38.6001,-77.1622,73.29,86,40,1.99,scattered clouds
290,Kununurra,AU,-15.7667,128.7333,85.98,74,2,5.75,clear sky
291,Warrnambool,AU,-38.3833,142.4833,59.81,59,44,11.3,scattered clouds
292,The Pas,CA,53.8251,-101.2541,54.63,38,83,9.4,broken clouds
293,Haines Junction,CA,60.7522,-137.5108,38.79,61,91,1.88,overcast clouds
294,Mount Gambier,AU,-37.8333,140.7667,59.49,49,53,8.41,broken clouds
295,Marrakesh,MA,31.6315,-8.0083,71.67,46,0,3.44,clear sky
296,Mwinilunga,ZM,-11.7358,24.4293,64.08,92,100,3.58,overcast clouds
297,Rantoul,US,40.3084,-88.1559,69.82,83,90,8.05,overcast clouds
298,Omsukchan,RU,62.5333,155.8,16.38,85,100,8.03,overcast clouds
299,Safford,US,32.834,-109.7076,82.06,53,20,3.44,few clouds
300,Sangar,RU,63.9242,127.4739,30.51,81,75,6.96,broken clouds
301,Mattru,SL,7.6244,-11.8332,74.73,97,94,1.97,light rain
302,Pangnirtung,CA,66.1451,-65.7125,35.8,86,99,4.25,overcast clouds
303,Srikakulam,IN,18.3,83.9,79.21,86,45,4.45,scattered clouds
304,Sinnamary,GF,5.3833,-52.95,79.57,84,51,9.1,broken clouds
305,Nanortalik,GL,60.1432,-45.2371,37.71,68,0,6.53,clear sky
306,Santa Teresa,VE,10.2341,-66.6631,77.92,97,99,2.28,overcast clouds
307,Santa Rosalia,MX,27.3167,-112.2833,83.73,48,19,2.53,few clouds
308,Channel-Port Aux Basques,CA,47.5702,-59.1367,51.87,74,9,12.84,clear sky
309,Bambous Virieux,MU,-20.3428,57.7575,70.21,80,35,6.91,scattered clouds
310,Terrace,CA,54.5163,-128.6035,52.43,57,69,1.36,broken clouds
311,Oga,IT,46.4631,10.347,44.64,97,100,3.58,overcast clouds
312,Merauke,ID,-8.4667,140.3333,82.62,60,96,9.33,overcast clouds
313,Ambovombe,MG,-25.1667,46.0833,66.83,68,92,8.84,overcast clouds
314,Pisco,PE,-13.7,-76.2167,62.65,82,91,16.11,overcast clouds
315,Pevek,RU,69.7008,170.3133,28.15,92,100,18.88,light snow
316,Yumen,CN,40.2833,97.2,44.94,61,24,7.99,few clouds
317,Itigi,TZ,-5.7,34.4833,67.78,51,25,9.13,scattered clouds
318,Davila,PH,18.4726,120.5763,82.56,78,100,0.78,overcast clouds
319,Puerto Escondido,MX,15.85,-97.0667,83.23,61,90,4.61,overcast clouds
320,Mount Isa,AU,-20.7333,139.5,87.57,10,33,11.5,scattered clouds
321,Mokhsogollokh,RU,61.4681,128.9203,32.23,75,79,7.7,broken clouds
322,Alpena,US,45.0617,-83.4327,58.91,97,1,0.0,clear sky
323,Macapa,BR,0.0389,-51.0664,82.13,73,91,13.71,overcast clouds
324,Kulevcha,UA,46.0303,29.9361,52.41,63,7,9.15,clear sky
325,Khorinsk,RU,52.1657,109.7726,34.97,72,64,0.6,broken clouds
326,Paciran,ID,-6.8767,112.3761,79.27,73,81,11.05,broken clouds
327,Silver City,US,32.7701,-108.2803,71.56,46,75,4.0,broken clouds
328,Muroto,JP,33.2833,134.15,74.23,68,35,2.75,scattered clouds
329,Boende,CD,-0.2167,20.8667,70.02,98,100,2.35,overcast clouds
330,San Joaquin,US,37.9333,-121.3011,85.78,27,1,13.8,clear sky
331,Kargasok,RU,59.0556,80.8572,26.98,84,76,4.76,broken clouds
332,Sayyan,YE,15.1718,44.3244,61.27,26,35,4.74,scattered clouds
333,Alihe,CN,50.5667,123.7167,40.17,66,4,2.93,clear sky
334,Hangha,SL,7.9411,-11.14,72.81,99,87,0.81,light rain
335,Altos,BR,-5.0381,-42.46,88.11,53,100,6.08,overcast clouds
336,Biharamulo,TZ,-2.6319,31.3089,63.63,83,74,2.42,broken clouds
337,Henties Bay,NA,-22.116,14.2845,53.85,86,8,5.46,clear sky
338,Samarai,PG,-10.6167,150.6667,80.89,81,67,15.73,broken clouds
339,Launceston,AU,-41.45,147.1667,59.61,57,22,5.99,few clouds
340,Tarbagatay,RU,51.4803,107.3602,24.33,79,83,1.59,light snow
341,Nalut,LY,30.3333,10.85,75.18,27,0,11.43,clear sky
342,Shenzhen,CN,22.5455,114.0683,85.21,76,5,5.82,light rain
343,Half Moon Bay,US,37.4636,-122.4286,78.75,69,90,5.75,overcast clouds
344,Asau,RO,46.4333,26.4,40.75,71,0,0.2,clear sky
345,Ak-Dovurak,RU,51.1833,90.6,31.12,63,95,0.96,overcast clouds
346,Gizo,SB,-8.103,156.8419,84.63,69,98,8.39,overcast clouds
347,Acapulco,MX,16.8634,-99.8901,85.82,74,75,6.91,broken clouds
348,Coquimbo,CL,-29.9533,-71.3436,55.13,82,0,4.61,clear sky
349,Sarakhs,IR,36.5449,61.1577,53.82,34,0,7.92,clear sky
