City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
388,Zhangjiakou,CN,45.34,heavy intensity rain,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
389,Okhotsk,RU,30.07,few clouds,59.3833,143.3,
390,Gudari,IN,74.35,few clouds,19.35,83.7833,Hotel maa majhigouri
391,Fukue,JP,77.36,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
392,Topolobampo,MX,96.06,few clouds,25.6,-109.05,Hotel Marina Topolobampo
393,Miandrivazo,MG,77.29,scattered clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
394,Harnosand,SE,50.02,overcast clouds,62.6323,17.9379,First Hotel Stadt
395,Baie-Comeau,CA,46.09,clear sky,49.2168,-68.1489,Travelodge by Wyndham Baie-Comeau
396,Anadyr,RU,34.3,fog,64.75,177.4833,"Гостиница ""Анадырь"""
397,Xining,CN,47.62,overcast clouds,36.6167,101.7667,Super Leisure Hotel
398,Raska,RS,51.75,few clouds,43.2872,20.6153,Konak Lux Hotel
399,Lewistown,US,70.25,broken clouds,40.5992,-77.5714,Quality Inn & Suites
400,Viedma,AR,47.46,overcast clouds,-40.8135,-62.9967,Hotel Cristal
401,Takhtamygda,RU,33.87,clear sky,54.1,123.5667,
402,Kefamenanu,ID,82.65,scattered clouds,-9.4467,124.4781,Sokowindo Losmen
403,Manzanillo,CU,78.6,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
404,Mata Grande,BR,70.7,scattered clouds,-9.1175,-37.7322,Hotel Casarão
405,Buala,SB,84.94,light rain,-8.145,159.5921,Maringe Lagoon Lodge
406,Makakilo City,US,88.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
407,Cabo San Lucas,MX,92.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
408,Presque Isle,US,54.03,clear sky,46.6811,-68.0159,Hampton Inn Presque Isle
409,Taltal,CL,59.43,broken clouds,-25.4,-70.4833,Residencial Karime
410,Sal Rei,CV,77.56,clear sky,16.1833,-22.9167,Marine Club Beach Resort
411,Nago,JP,84.36,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
412,Paita,PE,64.17,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
