City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
39,Hambantota,LK,2021-09-30 21:05:53,6.1241,81.1185,79.14,94,40,3.44
40,Saskylakh,RU,2021-09-30 21:05:54,71.9167,114.0833,18.3,95,98,2.08
41,Svetlaya,RU,2021-09-30 21:05:54,46.5389,138.3297,50.49,71,13,3.85
42,Port Alfred,ZA,2021-09-30 21:05:55,-33.5906,26.891,63.32,93,22,6.38
43,Geraldton,AU,2021-09-30 21:05:55,-28.7667,114.6,64.81,94,90,17.27
44,Arlit,NE,2021-09-30 21:05:55,18.7369,7.3853,92.91,9,46,14.05
45,Lasa,IT,2021-09-30 21:05:56,46.6166,10.7002,57.02,95,51,2.13
46,Yunyang,CN,2021-09-30 21:05:56,33.4474,112.7142,67.24,86,0,2.64
47,Castro,BR,2021-09-30 21:03:51,-24.7911,-50.0119,70.72,59,43,10.71
48,Kars,TR,2021-09-30 21:03:39,40.602,43.095,45.45,90,76,2.64
49,Auki,SB,2021-09-30 21:05:56,-8.7676,160.7034,80.55,78,99,3.8
50,Lebu,CL,2021-09-30 21:05:57,-37.6167,-73.65,53.65,69,53,10.29
51,Mogadishu,SO,2021-09-30 21:05:57,2.0371,45.3438,78.24,89,90,16.04
52,Hermanus,ZA,2021-09-30 21:05:57,-34.4187,19.2345,61.9,81,62,12.15
53,Waipawa,NZ,2021-09-30 21:05:58,-41.4122,175.5153,52.03,67,7,2.1
54,Deputatskiy,RU,2021-09-30 21:05:58,69.3,139.9,10.27,86,100,3.42
55,Gawler,AU,2021-09-30 21:05:58,-34.6,138.7333,55.9,96,100,14.0
56,Tiksi,RU,2021-09-30 21:03:24,71.6872,128.8694,28.92,77,72,5.88
57,Atuona,PF,2021-09-30 21:05:59,-9.8,-139.0333,78.12,69,7,17.67
58,Hobart,AU,2021-09-30 21:05:59,-42.8794,147.3294,55.11,96,75,1.01
59,Mangai,CD,2021-09-30 21:06:00,-4.05,19.5333,69.94,99,83,2.62
60,Beringovskiy,RU,2021-09-30 21:06:00,63.05,179.3167,31.01,80,100,16.17
61,Georgetown,MY,2021-09-30 21:06:00,5.4112,100.3354,82.33,88,20,2.3
62,Port Elizabeth,ZA,2021-09-30 21:05:50,-33.918,25.5701,63.1,96,87,6.53
63,Chumikan,RU,2021-09-30 21:06:01,54.7183,135.315,41.94,73,100,18.9
64,Jequie,BR,2021-09-30 21:02:31,-13.8575,-40.0836,80.69,53,0,9.24
65,Puerto Ayora,EC,2021-09-30 21:05:33,-0.7393,-90.3518,71.71,86,67,9.28
66,Presidencia Roque Saenz Pena,AR,2021-09-30 21:06:01,-26.7852,-60.4388,100.74,26,22,5.88
67,Olafsvik,IS,2021-09-30 21:04:56,64.8945,-23.7142,44.8,71,100,25.32
68,Dingle,PH,2021-09-30 21:03:22,10.9995,122.6711,75.43,91,79,1.54
69,Severo-Kurilsk,RU,2021-09-30 21:06:02,50.6789,156.125,47.77,97,100,18.07
70,Souillac,MU,2021-09-30 21:04:05,-20.5167,57.5167,72.36,76,57,12.73
71,Grand Gaube,MU,2021-09-30 21:06:03,-20.0064,57.6608,72.37,73,5,8.01
72,Abashiri,JP,2021-09-30 21:06:03,44.0213,144.2697,58.95,94,0,4.23
73,Avera,US,2021-09-30 21:06:04,33.194,-82.5271,86.72,48,99,2.13
74,New Norfolk,AU,2021-09-30 21:06:04,-42.7826,147.0587,54.75,74,100,1.01
75,Norman Wells,CA,2021-09-30 21:06:05,65.282,-126.8329,38.7,83,100,8.01
76,Umarkot,PK,2021-09-30 21:06:05,25.3616,69.7362,82.2,79,100,11.23
77,Valdivia,CL,2021-09-30 21:02:25,-39.8142,-73.2459,50.77,86,78,4.14
78,Santa Maria,BR,2021-09-30 21:02:55,-29.6842,-53.8069,68.5,97,100,5.37
79,Broome,US,2021-09-30 21:04:45,42.2506,-75.833,59.05,69,90,1.01
80,Salym,RU,2021-09-30 21:06:06,60.0625,71.4789,34.7,96,100,11.74
81,Kahului,US,2021-09-30 21:06:06,20.8947,-156.47,78.96,91,23,11.01
82,Pocosol,CR,2021-09-30 21:06:07,10.3667,-84.6167,77.9,83,63,2.46
83,Bay Saint Louis,US,2021-09-30 21:06:07,30.3088,-89.33,84.27,75,75,10.36
84,Natal,BR,2021-09-30 21:01:48,-5.795,-35.2094,78.17,77,6,11.41
85,Chanute,US,2021-09-30 21:06:07,37.6792,-95.4572,76.89,88,20,8.05
86,Tateyama,JP,2021-09-30 21:06:08,34.9833,139.8667,70.02,92,100,27.51
87,Baykit,RU,2021-09-30 21:06:08,61.67,96.37,30.22,94,16,2.35
88,Busselton,AU,2021-09-30 21:06:08,-33.65,115.3333,61.05,89,50,17.13
89,Porto Novo,BJ,2021-09-30 21:05:10,6.4965,2.6036,76.84,86,96,4.07
90,Kavaratti,IN,2021-09-30 21:06:09,10.5669,72.642,81.82,78,99,13.91
91,Lufilufi,WS,2021-09-30 21:06:10,-13.8745,-171.5986,76.78,77,79,23.69
92,Taree,AU,2021-09-30 21:06:10,-31.9,152.4667,61.07,80,100,3.76
93,Biak,ID,2021-09-30 21:06:10,-0.9131,122.8766,75.78,86,67,4.05
94,Chokurdakh,RU,2021-09-30 21:06:11,70.6333,147.9167,13.69,92,63,9.13
95,Matara,LK,2021-09-30 21:06:11,5.9485,80.5353,77.04,92,88,7.99
96,Sobolevo,RU,2021-09-30 21:06:12,54.4299,31.8996,39.43,89,91,5.48
97,Sao Jose Da Coroa Grande,BR,2021-09-30 21:06:12,-8.8978,-35.1478,75.72,86,23,8.55
98,Nikolskoye,RU,2021-09-30 21:06:12,59.7035,30.7861,44.49,93,11,4.61
99,Tessalit,ML,2021-09-30 21:06:13,20.1986,1.0114,87.04,9,9,11.45
100,Agirish,RU,2021-09-30 21:06:13,61.9247,63.0231,31.41,92,38,6.71
101,Kavieng,PG,2021-09-30 21:06:13,-2.5744,150.7967,81.99,79,88,11.41
102,Cidreira,BR,2021-09-30 21:06:14,-30.1811,-50.2056,65.41,77,100,26.44
103,Nome,US,2021-09-30 21:04:00,64.5011,-165.4064,34.16,74,35,12.53
104,Kaeo,NZ,2021-09-30 21:06:14,-35.1,173.7833,61.32,68,43,6.44
105,Mayor Pablo Lagerenza,PY,2021-09-30 21:06:15,-19.9309,-60.7718,108.37,16,1,12.95
106,Alghero,IT,2021-09-30 21:06:15,40.5589,8.3181,64.49,94,0,1.14
